iter	Logloss
0	0.6423722992
1	0.5682972336
2	0.5150160215
3	0.4811188735
4	0.4596613673
5	0.4389926235
6	0.4187888618
7	0.3982937129
8	0.3859124913
9	0.3728488476
10	0.3655098509
11	0.3564332987
12	0.3431522152
13	0.3369336138
14	0.3232960598
15	0.3144470311
16	0.3088106391
17	0.3041860117
18	0.2990908991
19	0.2931600858
20	0.2912980749
21	0.2888152152
22	0.2849762565
23	0.2782837493
24	0.273520478
25	0.2703252722
26	0.268691112
27	0.2659710019
28	0.2636131032
29	0.26055553
30	0.2589849658
31	0.2578245627
32	0.2554318617
33	0.2538936904
34	0.2521885574
35	0.2509508457
36	0.2452717243
37	0.2418877831
38	0.2405467354
39	0.2398298532
40	0.2379697757
41	0.2371590017
42	0.2361099957
43	0.2346655823
44	0.234079387
45	0.2329599733
46	0.2307891443
47	0.2280706404
48	0.2268348473
49	0.2261505811
50	0.2250834749
51	0.2244175616
52	0.2228490647
53	0.2201165359
54	0.2192599091
55	0.2171795511
56	0.2164881607
57	0.215127957
58	0.2144367302
59	0.2137077713
60	0.2128472628
61	0.211891271
62	0.2095356032
63	0.2083814765
64	0.207300375
65	0.2062612594
66	0.2052840443
67	0.2044849305
68	0.2032600391
69	0.2019127747
70	0.2011296789
71	0.2001851243
72	0.1986781263
73	0.1979234672
74	0.1970861602
75	0.1961948204
76	0.1954914426
77	0.1943996179
78	0.1933975206
79	0.1926077321
80	0.1913540768
81	0.1905533419
82	0.189951798
83	0.1890658867
84	0.188003049
85	0.1875363565
86	0.1864993825
87	0.18602158
88	0.1854589581
89	0.1844187419
90	0.1835739985
91	0.1825870119
92	0.1807824991
93	0.180101609
94	0.1793337131
95	0.178669882
96	0.1779779266
97	0.1770423105
98	0.1761322757
99	0.1749349138
100	0.1740747027
101	0.1732038427
102	0.1717105425
103	0.1710783161
104	0.1704798954
105	0.1695363373
106	0.1689900903
107	0.1681593868
108	0.1675462124
109	0.1667137538
110	0.1660921912
111	0.1652030823
112	0.1645547932
113	0.1636728084
114	0.1630458469
115	0.1621778127
116	0.1613698645
117	0.1606397009
118	0.1600740301
119	0.1594006358
120	0.158929645
121	0.15826861
122	0.1573198167
123	0.1565859944
124	0.1558565298
125	0.1552269358
126	0.1543366966
127	0.1536744866
128	0.1532691294
129	0.1528356477
130	0.152124432
131	0.1516977918
132	0.1508724425
133	0.1504844863
134	0.1498372681
135	0.1483381378
136	0.1478188849
137	0.1469797634
138	0.1458239709
139	0.1450807044
140	0.1442302944
141	0.1431822998
142	0.1424210818
143	0.1419640714
144	0.1414383191
145	0.1407573249
146	0.1400561483
147	0.1395618965
148	0.1388962212
149	0.1379201512
150	0.1373506878
151	0.1369721462
152	0.1366226659
153	0.136089031
154	0.1356659008
155	0.1350742026
156	0.1345114915
157	0.1337795282
158	0.1330896698
159	0.1324781611
160	0.1318956543
161	0.1314134049
162	0.131112038
163	0.1302963411
164	0.1296483495
165	0.1289842209
166	0.1286322272
167	0.1279711178
168	0.1276468915
169	0.1270124192
170	0.1249111055
171	0.1244702692
172	0.1240886935
173	0.1234513583
